center,latitude,longitude
0,30.3779,-97.9742
0,30.3782,-97.9739
0,30.3784,-97.974
0,30.3783,-97.9736
0,30.3785,-97.9734
0,30.3787,-97.9736
0,30.3786,-97.9731
0,30.3788,-97.9732
0,30.3787,-97.9727
0,30.379,-97.9729
0,30.3792,-97.973
0,30.3789,-97.9735
0,30.3785,-97.9745
0,30.3781,-97.9746
0,30.3782,-97.975
0,30.3784,-97.9748
0,30.3788,-97.9743
0,30.379,-97.974
0,30.3792,-97.974
0,30.3792,-97.9735
0,30.3794,-97.9736
0,30.3795,-97.9739
0,30.3772,-97.9742
0,30.3774,-97.974
0,30.3775,-97.9737
0,30.3777,-97.9735
0,30.378,-97.9732
0,30.378,-97.9729
0,30.3783,-97.9727
0,30.3783,-97.9725
0,30.3785,-97.9723
0,30.3786,-97.972
0,30.3789,-97.9716
0,30.379,-97.9714
0,30.3792,-97.9712
0,30.3794,-97.971
0,30.3796,-97.9708
0,30.3797,-97.9707
0,30.3801,-97.9704
0,30.3771,-97.9737
0,30.3774,-97.9732
0,30.3775,-97.9727
0,30.3775,-97.9723
0,30.3779,-97.9721
0,30.3769,-97.9734
0,30.3768,-97.9731
0,30.3766,-97.9728
0,30.3765,-97.9725
0,30.3764,-97.9723
0,30.3775,-97.9723
0,30.3773,-97.972
0,30.3776,-97.9718
0,30.3781,-97.9718
0,30.378,-97.9712
0,30.3784,-97.971
0,30.3789,-97.9707
0,30.3795,-97.9703
0,30.3799,-97.97
0,30.3787,-97.9714
0,30.377,-97.9726
0,30.3772,-97.9711
0,30.3777,-97.9707
0,30.3781,-97.9705
0,30.378,-97.9702
0,30.3778,-97.9701
0,30.3765,-97.9716
0,30.3763,-97.9713
0,30.3762,-97.971
0,30.3759,-97.9714
0,30.3757,-97.9711
0,30.3756,-97.9706
0,30.3764,-97.9705
0,30.3767,-97.9704
0,30.3771,-97.9701
0,30.3775,-97.9698
0,30.377,-97.9708
0,30.3776,-97.9705
0,30.3786,-97.9699
0,30.3783,-97.9697
0,30.3788,-97.9697
0,30.3788,-97.9692
0,30.3791,-97.9691
0,30.3799,-97.9693
0,30.3796,-97.9695
0,30.3794,-97.9696
0,30.3804,-97.9691
0,30.381,-97.9691
0,30.3762,-97.9699
0,30.3758,-97.9698
0,30.3797,-97.9718
0,30.3796,-97.9725
0,30.3793,-97.9719
0,30.38,-97.9731
0,30.38,-97.9738
0,30.3797,-97.9744
0,30.3792,-97.9746
0,30.3791,-97.9756
0,30.3789,-97.9759
0,30.3789,-97.9766
0,30.3789,-97.9769
0,30.3786,-97.9753
0,30.38,-97.975
0,30.3799,-97.9758
0,30.3797,-97.9758
0,30.3809,-97.9756
0,30.3804,-97.9763
0,30.3797,-97.9766
0,30.3797,-97.977
0,30.3796,-97.9776
0,30.3794,-97.9781
0,30.3796,-97.9772
0,30.3791,-97.9777
0,30.3803,-97.9758
0,30.3805,-97.9748
0,30.3802,-97.9743
0,30.3811,-97.974
0,30.381,-97.973
0,30.3807,-97.9731
0,30.3804,-97.9738
0,30.3803,-97.9727
0,30.3796,-97.9715
0,30.38,-97.9712
0,30.3806,-97.9717
0,30.3805,-97.9708
0,30.3815,-97.9719
0,30.3815,-97.9736
0,30.3809,-97.9761
0,30.3808,-97.9774
0,30.3803,-97.9776
0,30.3804,-97.9781
0,30.3796,-97.9789
0,30.3794,-97.9793
0,30.3793,-97.9791
0,30.3789,-97.9797
0,30.3787,-97.9792
0,30.3785,-97.979
0,30.3782,-97.9789
0,30.378,-97.9786
0,30.3778,-97.9784
0,30.3775,-97.9781
0,30.3773,-97.9783
0,30.3789,-97.9784
0,30.3785,-97.9783
0,30.3783,-97.9781
0,30.3781,-97.9779
0,30.3779,-97.9777
0,30.3777,-97.9772
0,30.3772,-97.9771
0,30.3771,-97.9769
0,30.3782,-97.9764
0,30.3777,-97.9761
0,30.3776,-97.9757
0,30.3784,-97.9774
0,30.3788,-97.9773
0,30.3784,-97.9768
0,30.3784,-97.9761
0,30.3782,-97.9793
0,30.3778,-97.979
0,30.3768,-97.9791
0,30.3769,-97.9778
0,30.3769,-97.9773
0,30.3766,-97.9776
0,30.3781,-97.9767
0,30.3773,-97.9763
0,30.3765,-97.9735
0,30.3762,-97.9731
0,30.3777,-97.9752
0,30.3774,-97.9749
0,30.377,-97.9746
0,30.3768,-97.9741
0,30.377,-97.9758
0,30.3767,-97.9763
0,30.3767,-97.9752
0,30.3803,-97.9785
0,30.38,-97.9785
0,30.3798,-97.9797
0,30.3795,-97.98
0,30.3791,-97.9803
0,30.3788,-97.9808
0,30.3783,-97.9804
0,30.3778,-97.98
0,30.3773,-97.9794
0,30.3769,-97.9797
0,30.3814,-97.9749
0,30.3821,-97.976
0,30.3822,-97.9773
0,30.382,-97.9768
0,30.3818,-97.9765
0,30.3816,-97.9775
0,30.381,-97.9783
0,30.3808,-97.9787
0,30.3804,-97.979
0,30.3765,-97.9781
0,30.3764,-97.9787
0,30.3764,-97.9759
0,30.3763,-97.9745
0,30.3763,-97.9737
0,30.3761,-97.9785
0,30.3809,-97.9724
0,30.3824,-97.9722
0,30.3816,-97.9705
0,30.3828,-97.9729
0,30.3825,-97.9724
0,30.382,-97.9691
0,30.382,-97.9742
0,30.382,-97.975
0,30.3815,-97.9764
0,30.3825,-97.9752
0,30.3828,-97.9736
0,30.3829,-97.9767
0,30.3812,-97.9766
0,30.3766,-97.9797
0,30.3759,-97.9723
0,30.3757,-97.9721
0,30.3761,-97.9747
0,30.376,-97.9762
0,30.3761,-97.9771
0,30.3757,-97.9721
0,30.3758,-97.9734
0,30.3818,-97.9754
0,30.3761,-97.9754
0,30.3756,-97.9743
0,30.3757,-97.9779
0,30.3765,-97.9811
0,30.3763,-97.9807
0,30.3763,-97.9818
0,30.3757,-97.9812
0,30.3757,-97.9756
0,30.3757,-97.9779
0,30.3822,-97.9714
0,30.3827,-97.9694
0,30.3754,-97.9726
0,30.3753,-97.9715
0,30.3754,-97.9757
0,30.3754,-97.9805
0,30.3751,-97.979
0,30.3754,-97.9817
0,30.3752,-97.9811
0,30.3755,-97.9762
0,30.3752,-97.9738
0,30.3751,-97.9756
0,30.3751,-97.9772
0,30.376,-97.9802
0,30.3796,-97.9752
0,30.3755,-97.9795
0,30.3761,-97.9795
0,30.3795,-97.9762
1,30.3769,-97.9723
1,30.3800 ,-97.9780 
1,30.3806,-97.9727
1,30.3757,-97.9773
